epoch,train_loss,train_acc,test_loss,test_acc,precision,recall,f1,micro_f1,macro_f1,epoch_time_s,lr
159,0.305186,0.383182,0.292251,0.409367,,,,0.322350,0.160461,50.2,0.000100
160,0.304311,0.386216,0.291961,0.393755,,,,0.385166,0.173692,50.3,0.000100
161,0.305267,0.380147,0.291192,0.401561,,,,0.405834,0.186902,50.0,0.000100
162,0.303961,0.384699,0.288213,0.404163,,,,0.354552,0.171339,50.2,0.000100
163,0.307372,0.378630,0.290669,0.401561,,,,0.360348,0.178848,50.0,0.000100
164,0.304650,0.387733,0.289642,0.412836,,,,0.364134,0.192373,49.9,0.000100
165,0.302876,0.394885,0.287665,0.405030,,,,0.357679,0.186788,50.0,0.000100
166,0.304401,0.387083,0.288752,0.413703,,,,0.362022,0.184004,50.2,0.000100
167,0.303361,0.391417,0.290081,0.402428,,,,0.395874,0.195670,49.9,0.000100
168,0.302981,0.386216,0.288013,0.413703,,,,0.361496,0.185591,49.9,0.000100
169,0.303381,0.389467,0.287183,0.404163,,,,0.362898,0.185985,49.9,0.000100
170,0.304788,0.385782,0.287117,0.405030,,,,0.368032,0.179188,48.3,0.000100
171,0.301372,0.386866,0.285994,0.415438,,,,0.356050,0.184675,46.7,0.000100
172,0.302299,0.387083,0.287527,0.418907,,,,0.384977,0.201268,47.0,0.000100
173,0.299744,0.391851,0.286745,0.402428,,,,0.413401,0.188701,46.9,0.000100
174,0.299080,0.389033,0.285937,0.412836,,,,0.380054,0.198025,47.1,0.000100
175,0.300784,0.386649,0.284051,0.411969,,,,0.381842,0.207810,47.0,0.000100
176,0.301061,0.397703,0.288815,0.406765,,,,0.413151,0.223728,47.0,0.000100
177,0.300495,0.384699,0.283110,0.405030,,,,0.380066,0.197515,47.2,0.000100
178,0.298929,0.398786,0.284988,0.411101,,,,0.391927,0.197979,46.9,0.000100
179,0.301064,0.390334,0.285230,0.415438,,,,0.372376,0.200029,46.8,0.000100
180,0.301045,0.393801,0.283146,0.414571,,,,0.376535,0.202598,46.8,0.000100
181,0.298552,0.389900,0.283564,0.420642,,,,0.372348,0.204946,46.8,0.000100
182,0.297534,0.397052,0.283085,0.409367,,,,0.396325,0.206487,46.8,0.000100
183,0.297362,0.397269,0.280032,0.412836,,,,0.381977,0.200656,46.8,0.000100
184,0.297221,0.395102,0.283169,0.417173,,,,0.423544,0.227811,47.0,0.000100
185,0.296992,0.395102,0.283374,0.418040,,,,0.396264,0.212539,47.5,0.000100
186,0.297305,0.398136,0.282845,0.414571,,,,0.396846,0.212905,47.0,0.000100
187,0.295737,0.402254,0.280893,0.420642,,,,0.400000,0.218011,47.1,0.000100
188,0.296702,0.402037,0.281276,0.423244,,,,0.411650,0.224486,47.2,0.000100
189,0.296086,0.402904,0.280102,0.417173,,,,0.397885,0.214039,47.2,0.000100
190,0.296119,0.396186,0.278674,0.424111,,,,0.406312,0.227254,47.0,0.000100
191,0.292359,0.402904,0.277537,0.432784,,,,0.381083,0.224732,46.9,0.000100
192,0.294257,0.399220,0.278447,0.425846,,,,0.400532,0.221017,47.3,0.000100
193,0.293164,0.402254,0.280119,0.425846,,,,0.431718,0.240268,47.0,0.000100
194,0.294647,0.394668,0.276786,0.431049,,,,0.401333,0.236538,47.0,0.000100
195,0.292506,0.400737,0.282527,0.418907,,,,0.414461,0.224193,46.9,0.000100
196,0.294156,0.399870,0.277511,0.431049,,,,0.387097,0.235509,46.9,0.000100
197,0.294188,0.400954,0.275539,0.431917,,,,0.395161,0.210873,46.8,0.000100
198,0.293580,0.398570,0.275994,0.436253,,,,0.400270,0.233535,46.8,0.000100
199,0.292285,0.406155,0.275327,0.427580,,,,0.432398,0.239915,46.9,0.000100
200,0.291967,0.409623,0.274090,0.432784,,,,0.394879,0.228166,47.0,0.000100
201,0.289446,0.405505,0.273428,0.437121,,,,0.403474,0.237120,47.2,0.000100
202,0.291383,0.406589,0.273723,0.437121,,,,0.441640,0.258909,47.2,0.000100
203,0.290497,0.403554,0.276822,0.439722,,,,0.412574,0.244186,47.2,0.000100
204,0.289546,0.407672,0.273953,0.433651,,,,0.411264,0.251899,46.9,0.000100
205,0.290269,0.403338,0.272172,0.433651,,,,0.386612,0.237247,47.0,0.000100
206,0.288693,0.403338,0.272824,0.427580,,,,0.430671,0.249397,46.9,0.000100
207,0.287668,0.405288,0.271972,0.427580,,,,0.403462,0.238794,46.9,0.000100
208,0.289098,0.401387,0.270721,0.431917,,,,0.421536,0.249694,46.9,0.000100
209,0.286844,0.411790,0.271805,0.437121,,,,0.447535,0.269399,46.8,0.000100
210,0.287607,0.408973,0.269829,0.448395,,,,0.416611,0.259796,47.0,0.000100
211,0.288079,0.418075,0.272092,0.433651,,,,0.443175,0.271213,46.8,0.000100
212,0.286527,0.409406,0.269404,0.437121,,,,0.442052,0.264608,47.3,0.000100
213,0.286532,0.418292,0.268865,0.444059,,,,0.429882,0.258758,46.9,0.000100
214,0.287333,0.402904,0.270504,0.444059,,,,0.435567,0.291379,47.1,0.000100
215,0.285819,0.413307,0.269511,0.446661,,,,0.460568,0.287643,47.0,0.000100
